code,name,2011,2010,2009,2008,2007,2006,2005
000001,平安银行,0.0,0.0,0.1579,0.0187,0.0,0.0,0.0
000002,万科A,0.8255,0.641,0.737,0.3888,0.7428,1.343,0.5649
000004,国农科技,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000005,世纪星源,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000006,深振业A,1.0296,0.8403,0.0,1.6471,0.8898,1.0534,0.0
000007,全新好,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000008,神州高铁,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000009,中国宝安,0.2003,0.2551,0.0,0.0,0.0,0.0,0.0
000010,美丽生态,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000011,深物业A,0.0,0.123,0.0,0.0,0.0,0.0,0.0
000012,南玻A,1.1155,0.4562,0.7522,1.7711,1.067,2.145,2.6316
000014,沙河股份,0.3319,0.2686,0.1249,0.0419,0.1787,0.4115,0.6154
000016,深康佳A,0.2096,0.8666,0.0,0.8985,0.0,0.0,0.0
000017,深中华A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000018,神州长城,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000019,深深宝A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000020,深华发A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000021,深科技,1.3214,1.0149,4.7562,3.5939,0.7167,1.3298,1.2804
000022,深赤湾A,2.1036,3.5336,5.4766,3.1373,2.9421,3.0954,1.1758
000023,深天地A,0.5161,1.2925,1.7897,0.1403,0.0,0.0,0.0
000025,特力A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000026,飞亚达A,1.0385,0.6667,1.292,0.0,0.0,0.0,0.0
000027,深圳能源,2.7076,0.8361,3.4884,1.5035,3.1847,4.6512,4.0
000028,国药一致,0.346,0.3159,0.0,0.5034,0.2788,0.0,0.0
000029,深深房A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000030,富奥股份,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000031,中粮地产,0.3226,0.2571,0.3748,0.0,0.0,1.0256,4.1237
000032,深桑达A,1.1025,1.577,1.4205,1.2407,1.0476,1.81,2.1352
000034,神州数码,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000035,中国天楹,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000036,华联控股,0.0,0.0,0.0,0.0,0.0,0.8368,0.0
000037,深南电A,0.0,0.0,0.6088,0.0,0.0,15.9171,5.2349
000038,深大通,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000039,中集集团,0.5217,1.2039,5.9242,2.1304,1.2943,0.0,3.5383
000040,东旭蓝天,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000042,中洲控股,0.8824,0.1202,1.4276,1.1029,0.0,0.5459,1.0791
000043,中航地产,0.0,0.4085,2.5253,1.1167,0.5537,1.5649,1.497
000045,深纺织A,0.0,0.4136,0.0,0.0,0.5214,1.0345,2.3622
000046,泛海控股,1.0776,0.5158,0.0,0.2546,0.0,0.3444,0.5556
000048,康达尔,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000049,德赛电池,0.0,0.0,0.0,0.0,0.9588,0.0,0.0
000050,深天马A,0.0,0.0,1.3021,1.5764,0.299,1.4388,0.0
000055,方大集团,0.0,0.0,0.0,0.0,0.0,0.0,0.5464
000056,皇庭国际,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000058,深赛格,0.0,0.2907,0.5376,0.0,0.0,0.0,2.9091
000059,华锦股份,0.3451,0.3623,0.3912,0.3769,0.0,0.0,0.0
000060,中金岭南,0.0949,0.3944,1.5863,2.0899,0.0,1.1905,1.4006
000061,农产品,0.5348,0.589,0.5366,0.0,0.0,0.6443,0.0
000062,深圳华强,0.5981,0.2332,0.7003,0.6053,0.5854,1.7575,2.1413
000063,中兴通讯,0.7252,0.5772,0.4675,0.2425,0.5388,0.9878,0.939
000065,北方国际,0.4211,0.1983,0.0,0.6961,0.0,1.222,0.0
000066,中国长城,0.4196,0.0,0.2723,1.2121,2.2971,3.3259,1.0893
000068,华控赛格,0.0,0.0,0.0,0.3471,0.0,3.125,0.0
000069,华侨城A,1.0893,0.7957,0.8415,1.2594,0.6707,0.0,0.0
000070,特发信息,0.0,0.0,0.0,0.0,0.0,0.7299,0.0
000078,海王生物,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000088,盐田港,2.7673,3.2043,3.5044,2.7701,4.0423,8.5979,4.0355
000089,深圳机场,0.5079,0.3786,2.1195,0.0,2.5203,1.8657,0.0
000090,天健集团,0.165,0.0,1.5801,1.0965,0.5211,0.294,1.75
000096,广聚能源,0.0,0.9756,2.852,1.8561,0.6857,4.0299,3.2895
000099,中信海直,0.4596,0.6289,0.7752,0.7342,0.4394,0.9728,2.6316
000100,TCL集团,0.0,0.0,0.0,0.0,0.0,2.6042,3.125
000150,宜华健康,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000151,中成股份,0.5843,0.5556,1.7284,1.8919,1.0,4.6099,3.1949
000153,丰原药业,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000155,川化股份,0.672,0.0,3.0826,1.5528,0.0,7.2289,2.6966
000156,华数传媒,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000157,中联重科,1.1215,0.3833,0.2346,0.0,0.1949,3.4188,0.0
000158,常山北明,0.0,0.0,0.6278,0.455,0.4706,2.0067,3.2143
000159,国际实业,1.6722,0.1362,0.0,0.0,0.0,0.0,0.0
000166,申万宏源,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000301,东方市场,0.0,1.0101,0.0,1.9157,0.0,0.0,3.0702
000333,美的集团,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000338,潍柴动力,0.4706,0.2057,0.84,0.1853,0.0,0.0,0.0
000400,许继电气,0.0,0.0,0.7092,0.0,0.0,1.8987,2.5862
000401,冀东水泥,0.0,0.6627,0.5805,0.5855,0.0,2.1834,4.2194
000402,金融街,1.657,1.693,1.66,0.0,1.3256,1.7316,2.3641
000403,ST生化,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000404,华意压缩,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000407,胜利股份,0.0,0.9436,0.0,0.0,0.0,0.0,1.6404
000408,藏格控股,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000409,山东地矿,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000410,*ST沈机,0.0,0.0,0.0,0.0,0.1545,0.0,0.0
000411,英特集团,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000413,东旭光电,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000415,渤海金控,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000416,民生控股,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000417,合肥百货,1.0526,0.742,1.494,0.7424,0.5881,2.2472,0.0
000418,小天鹅A,0.0,0.0,0.0,0.0956,0.0,0.0,0.0
000419,通程控股,0.9074,1.2085,0.7899,0.0,0.0,1.6234,0.0
000420,吉林化纤,0.0,0.0,0.0,0.0,0.9112,0.0,3.5971
000421,南京公用,0.0,0.0,0.0,0.0,0.0,2.6371,1.1834
000422,湖北宜化,0.473,0.8562,1.9332,0.5184,0.6658,1.9233,1.1326
000423,东阿阿胶,0.7776,0.4851,1.1455,0.5387,1.4609,2.5707,0.3831
000425,徐工机械,0.2414,0.5712,0.1999,0.0,0.0,0.0,3.3113
000426,兴业矿业,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000428,华天酒店,0.0,0.7676,0.0,0.0,0.0,2.2883,3.7129
000429,粤高速A,2.0534,1.8762,5.074,2.091,1.726,3.0303,1.8221
000430,张家界,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000488,晨鸣纸业,3.5294,0.6105,2.2222,0.6928,0.9334,1.528,0.9662
000498,山东路桥,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000501,鄂武商A,0.0,1.2658,0.0,0.0,0.0,0.0,0.0
000502,绿景控股,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000503,海虹控股,0.0,0.0,0.0,0.0,0.0,0.0,0.6649
000504,南华生物,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000505,珠江控股,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000506,中润资源,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000507,珠海港,0.4906,0.286,1.6611,1.0989,0.0,0.0,0.0
000509,华塑控股,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000510,金路集团,0.0,0.0,1.1301,0.6383,0.0,2.1459,0.0
000511,*ST烯碳,0.0,0.0,0.0,0.361,0.5617,0.0,0.0
000513,丽珠集团,0.4517,0.2229,2.0467,0.0,0.0,2.8517,0.0
000514,渝开发,0.0,0.2906,0.0,0.5637,0.0,0.0,0.0
000516,国际医学,0.5407,0.3831,0.0,1.1161,0.916,2.4581,4.4715
000517,荣安地产,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000518,四环生物,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000519,中兵红箭,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000520,长航凤凰,0.0,0.5374,2.9189,0.3092,1.1106,1.5873,1.9608
000521,美菱电器,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000523,广州浪奇,0.1338,0.0,0.0,0.0,0.107,0.0,0.0
000524,岭南控股,0.0,0.0,0.0,1.4213,0.0,0.0,0.0
000525,红太阳,0.3506,0.3226,0.3561,0.4247,0.5426,1.1765,1.5464
000526,*ST紫学,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000528,柳工,0.7037,0.3824,2.3829,1.0132,0.8726,3.6166,3.6456
000529,广弘控股,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000530,大冷股份,1.2346,1.4409,1.79,1.676,1.1952,2.6247,2.6385
000531,穗恒运A,0.0,0.0,0.0,1.7266,1.5748,17.0213,3.9557
000532,华金资本,0.3027,0.0,0.0,0.0,0.0,0.0,2.5
000533,万家乐,0.0,0.4181,0.0,0.0,0.0,0.0,0.0
000534,万泽股份,2.3697,0.7143,1.8762,0.0,0.0,0.0,3.5714
000536,华映科技,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000537,广宇发展,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000538,云南白药,0.2669,0.4559,0.2496,0.3463,0.2619,0.7862,1.4417
000539,粤电力A,3.2,0.8357,1.669,2.3684,1.3081,4.557,5.123
000540,中天金融,0.0,0.4704,0.737,0.0,0.0,0.0,0.0
000541,佛山照明,1.5793,1.2051,3.7464,2.3815,2.1586,5.4545,3.7674
000543,皖能电力,0.197,0.0,1.0828,0.2045,0.0,3.9841,6.9832
000544,中原环保,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000545,金浦钛业,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000546,金圆股份,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000547,航天发展,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000548,湖南投资,0.0,1.1655,0.0,0.0,0.0,1.3774,0.0
000550,江铃汽车,1.737,1.3198,1.9293,1.8428,0.983,7.9531,3.8961
000551,创元科技,0.0,0.7143,1.497,2.3148,1.2733,2.9412,2.3923
000552,靖远煤电,0.2752,0.3922,0.0,0.0,0.0,0.0,0.0
000553,沙隆达A,0.0,0.5319,0.0,0.0,0.0,0.0,0.0
000554,泰山石油,0.0,1.233,6.6225,1.0251,0.6024,1.9569,0.0
000555,神州信息,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000557,西部创业,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000558,莱茵体育,0.7169,1.3928,0.0,0.0,0.0,0.0,0.0
000559,万向钱潮,0.8137,0.7713,0.0,3.4335,2.0559,2.6261,2.4131
000560,昆百大A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000561,烽火电子,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000563,陕国投A,0.8467,0.2588,0.0,0.0,0.0,0.0,0.0
000564,供销大集,1.0781,0.65,0.0,1.7575,0.0,2.8962,3.3113
000565,渝三峡A,0.6835,0.0,0.7593,0.0,0.0,0.0,0.0
000566,海南海药,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000567,海德股份,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000568,泸州老窖,1.6465,2.107,1.5895,0.5747,0.0988,0.5083,0.0
000570,苏常柴A,0.0,0.4226,1.0699,0.9214,0.497,0.0,0.0
000571,新大洲A,0.0,0.6623,0.0,0.0,0.0,0.0,0.0
000572,海马汽车,0.0,0.0,0.8327,0.0,0.2542,0.0,0.0
000573,粤宏远A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000576,广东甘化,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000581,威孚高科,0.3828,0.9951,1.4101,0.4292,2.4053,1.3736,1.6935
